"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 16:20:45 GMT 2023","Tue Aug 01 16:20:47 GMT 2023","1248","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Tue Aug 01 16:19:50 GMT 2023","Tue Aug 01 16:19:52 GMT 2023","1956","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG87-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Tue Aug 01 16:19:59 GMT 2023","Tue Aug 01 16:20:01 GMT 2023","1686","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG85-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Tue Aug 01 16:19:27 GMT 2023","Tue Aug 01 16:19:29 GMT 2023","1896","tests.games.reference.genre","Test post genre","TestGenreCreate","","","TG74-Test genre create","Проверка успешного ответа [201] при создании жанра"
"passed","Tue Aug 01 16:20:39 GMT 2023","Tue Aug 01 16:20:39 GMT 2023","385","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Test external payments services list","Проверка успешного ответа [200] при запросе списка сервисов оплаты"
"skipped","Tue Aug 01 16:19:53 GMT 2023","Tue Aug 01 16:19:54 GMT 2023","1846","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG81-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Tue Aug 01 16:20:28 GMT 2023","Tue Aug 01 16:20:28 GMT 2023","0","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","Test subgenre read","Проверка успешного ответа [200] при запросе поджанра по ID."
"passed","Tue Aug 01 16:19:54 GMT 2023","Tue Aug 01 16:19:55 GMT 2023","737","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG82-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Tue Aug 01 16:20:03 GMT 2023","Tue Aug 01 16:20:05 GMT 2023","2100","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG78-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"passed","Tue Aug 01 16:20:52 GMT 2023","Tue Aug 01 16:20:53 GMT 2023","1277","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Tue Aug 01 16:20:25 GMT 2023","Tue Aug 01 16:20:25 GMT 2023","0","tests.games.reference.subgenre","Test delete subgenre","TestSubgenreDelete","","","Test subgenre delete","Проверка успешного ответа [204] при удалении поджанра"
"passed","Tue Aug 01 16:20:42 GMT 2023","Tue Aug 01 16:20:43 GMT 2023","1278","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Tue Aug 01 16:20:44 GMT 2023","Tue Aug 01 16:20:45 GMT 2023","1312","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Tue Aug 01 16:20:37 GMT 2023","Tue Aug 01 16:20:38 GMT 2023","1410","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of deleting non-existent service by id","Проверка ответа [404] при удалении по id несуществующего сервиса оплаты"
"passed","Tue Aug 01 16:20:53 GMT 2023","Tue Aug 01 16:20:54 GMT 2023","1303","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Tue Aug 01 16:19:15 GMT 2023","Tue Aug 01 16:19:15 GMT 2023","0","tests.games.core.system_requirement","Test get system requirement","TestSystemRequirement","","","TG12-Test system requirement read","Проверка успешного ответа [200] при запросе системных требований по ID."
"passed","Tue Aug 01 16:19:14 GMT 2023","Tue Aug 01 16:19:15 GMT 2023","953","tests.games.core.system_requirement","Test get system requirement","TestSystemRequirement","","","TG9-Test system requirement list","Проверка успешного ответа [200] при запросе списка системных требований."
"skipped","Tue Aug 01 16:19:55 GMT 2023","Tue Aug 01 16:19:57 GMT 2023","2027","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG83-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Tue Aug 01 16:20:51 GMT 2023","Tue Aug 01 16:20:52 GMT 2023","1368","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Tue Aug 01 16:19:12 GMT 2023","Tue Aug 01 16:19:13 GMT 2023","898","tests.games.community","Test get community review","TestCommunityReview","","","TG2-Test community review read","Проверка успешного ответа [200] при запросе обзора пользователей."
"passed","Tue Aug 01 16:19:37 GMT 2023","Tue Aug 01 16:19:37 GMT 2023","854","tests.games.reference.languages","Test get languages","TestLanguages","","","TG97-Test languages read","Проверка успешного ответа [200] при запросе языка по ID."
"passed","Tue Aug 01 16:19:30 GMT 2023","Tue Aug 01 16:19:31 GMT 2023","781","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"skipped","Tue Aug 01 16:20:31 GMT 2023","Tue Aug 01 16:20:32 GMT 2023","1176","tests.games.reference.subgenre","Test post Subgenre","TestGenreCreate","","","Test subgenre create","Проверка успешного ответа [201] при создании поджанра"
"skipped","Tue Aug 01 16:20:22 GMT 2023","Tue Aug 01 16:20:23 GMT 2023","1336","tests.games.reference.product_languages","Test post product languages","TestProductLanguagesCreate","","","TG15-Test product languages create","Проверка успешного ответа [201] при создании языка продукта."
"passed","Tue Aug 01 16:19:19 GMT 2023","Tue Aug 01 16:19:20 GMT 2023","875","tests.games.reference.genre","Test delete genre","TestGenreDelete","","","TG26-Test genre delete","Проверка успешного ответа [204] при удалении жанра"
"passed","Tue Aug 01 16:19:52 GMT 2023","Tue Aug 01 16:19:52 GMT 2023","927","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG89-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Tue Aug 01 16:20:10 GMT 2023","Tue Aug 01 16:20:11 GMT 2023","1008","tests.games.reference.languages","Test put languages","TestLanguagesUpdate","","","TG100-Test languages update","Проверка успешного ответа [200] при обновлении языка"
"passed","Tue Aug 01 16:20:38 GMT 2023","Tue Aug 01 16:20:39 GMT 2023","815","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of successful deleting existent service by id","Проверка успешного ответа [204] при удалении по id существующего сервиса оплаты"
"passed","Tue Aug 01 16:19:43 GMT 2023","Tue Aug 01 16:19:44 GMT 2023","736","tests.games.reference.languages","Test patch languages","TestLanguagesPartialUpdate","","","TG94-Test languages partial update","Проверка успешного ответа [200] при частичном обновлении языка"
"skipped","Tue Aug 01 16:20:32 GMT 2023","Tue Aug 01 16:20:32 GMT 2023","0","tests.games.reference.subgenre","Test put subgenre","TestSubgenreUpdate","","","Test subgenre update","Проверка успешного ответа [201] при обновлении поджанра"
"passed","Tue Aug 01 16:20:05 GMT 2023","Tue Aug 01 16:20:07 GMT 2023","1746","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG79-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"skipped","Tue Aug 01 16:19:15 GMT 2023","Tue Aug 01 16:19:15 GMT 2023","0","tests.games.core.system_requirement","Test patch system requirement","TestSystemRequirementPartialUpdate","","","TG13-Test system requirement partial update","Проверка успешного ответа [200] при частичном обновлении системных требований"
"passed","Tue Aug 01 16:19:20 GMT 2023","Tue Aug 01 16:19:20 GMT 2023","876","tests.games.reference.genre","Test get genre","TestGenre","","","TG39-Test genre list","Проверка успешного ответа [200] при запросе списка жанров"
"passed","Tue Aug 01 16:20:43 GMT 2023","Tue Aug 01 16:20:44 GMT 2023","1333","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Tue Aug 01 16:20:54 GMT 2023","Tue Aug 01 16:20:56 GMT 2023","1644","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Check if we can not create the service with an existing name","Проверка ответа [400] при создании сервиса оплаты с уже существующим именем"
