"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 19:53:04 GMT 2023","Sat Jul 29 19:53:05 GMT 2023","968","tests.games.reference.genre","Test get genre","TestGenre","","","TG49-Test genre read","Проверка успешного ответа [200] при запросе жанра по ID."
"passed","Sat Jul 29 19:53:12 GMT 2023","Sat Jul 29 19:53:12 GMT 2023","700","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"skipped","Sat Jul 29 19:53:36 GMT 2023","Sat Jul 29 19:53:37 GMT 2023","1852","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG83-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Sat Jul 29 19:54:01 GMT 2023","Sat Jul 29 19:54:02 GMT 2023","1263","tests.games.reference.product_languages","Test post product languages","TestProductLanguagesCreate","","","TG15-Test product languages create","Проверка успешного ответа [201] при создании языка продукта."
"passed","Sat Jul 29 19:53:00 GMT 2023","Sat Jul 29 19:53:02 GMT 2023","1771","tests.games.reference.genre","Test delete genre","TestGenreDelete","","","TG26-Test genre delete","Проверка успешного ответа [204] при удалении жанра"
"skipped","Sat Jul 29 19:53:58 GMT 2023","Sat Jul 29 19:53:58 GMT 2023","0","tests.games.reference.product_languages","Test get product languages","TestProductLanguages","","","TG19-Test product languages  read","Проверка успешного ответа [200] при запросе списка языков продукта"
"skipped","Sat Jul 29 19:54:11 GMT 2023","Sat Jul 29 19:54:11 GMT 2023","0","tests.games.reference.subgenre","Test put subgenre","TestSubgenreUpdate","","","Test subgenre update","Проверка успешного ответа [201] при обновлении поджанра"
"passed","Sat Jul 29 19:53:07 GMT 2023","Sat Jul 29 19:53:08 GMT 2023","737","tests.games.reference.genre","Test patch genre","TestGenrePartialUpdate","","","Test genre partial update","Проверка успешного ответа [200] при частичном обновлении жанра"
"passed","Sat Jul 29 19:53:35 GMT 2023","Sat Jul 29 19:53:36 GMT 2023","929","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG82-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Sat Jul 29 19:54:13 GMT 2023","Sat Jul 29 19:54:14 GMT 2023","725","tests.games.utils","Test get filters platforms list","TestFiltersPlatforms","","","TG103-Test filters platforms list","Проверка успешного ответа [200] при запросе фильтра по операционной системе"
"passed","Sat Jul 29 19:53:52 GMT 2023","Sat Jul 29 19:53:52 GMT 2023","728","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","TG98-Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"passed","Sat Jul 29 19:54:25 GMT 2023","Sat Jul 29 19:54:26 GMT 2023","1249","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Sat Jul 29 19:53:32 GMT 2023","Sat Jul 29 19:53:33 GMT 2023","888","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG89-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Sat Jul 29 19:52:58 GMT 2023","Sat Jul 29 19:52:58 GMT 2023","730","tests.games.core.system_requirement","Test post system requirement","TestSystemRequirementCreate","","","TG10-Test system requirement create","Проверка успешного ответа [201] при создании системных требований"
"passed","Sat Jul 29 19:53:09 GMT 2023","Sat Jul 29 19:53:11 GMT 2023","1928","tests.games.reference.genre","Test post genre","TestGenreCreate","","","TG74-Test genre create","Проверка успешного ответа [201] при создании жанра"
"passed","Sat Jul 29 19:54:26 GMT 2023","Sat Jul 29 19:54:27 GMT 2023","1241","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Sat Jul 29 19:53:02 GMT 2023","Sat Jul 29 19:53:03 GMT 2023","1363","tests.games.reference.genre","Test get genre","TestGenre","","","TG39-Test genre list","Проверка успешного ответа [200] при запросе списка жанров"
"skipped","Sat Jul 29 19:52:56 GMT 2023","Sat Jul 29 19:52:56 GMT 2023","0","tests.games.core.system_requirement","Test get system requirement","TestSystemRequirement","","","TG12-Test system requirement list","Проверка успешного ответа [200] при запросе системных требований по ID."
"passed","Sat Jul 29 19:53:57 GMT 2023","Sat Jul 29 19:53:58 GMT 2023","745","tests.games.reference.product_languages","Test get product languages","TestProductLanguages","","","TG17-Test product languages list","Проверка успешного ответа [200] при запросе списка языков продукта"
"passed","Sat Jul 29 19:54:24 GMT 2023","Sat Jul 29 19:54:25 GMT 2023","1200","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Sat Jul 29 19:53:39 GMT 2023","Sat Jul 29 19:53:41 GMT 2023","2318","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG85-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Sat Jul 29 19:53:56 GMT 2023","Sat Jul 29 19:53:56 GMT 2023","0","tests.games.reference.product_languages","Test delete product languages","TestProductLanguagesDelete","","","TG16-Test product languages delete","Проверка успешного ответа [204] при удалении языка продукта"
"passed","Sat Jul 29 19:54:30 GMT 2023","Sat Jul 29 19:54:31 GMT 2023","1277","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Sat Jul 29 19:53:45 GMT 2023","Sat Jul 29 19:53:47 GMT 2023","1958","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG79-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"passed","Sat Jul 29 19:54:17 GMT 2023","Sat Jul 29 19:54:19 GMT 2023","1261","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Get existent service by id","Проверка успешного ответа [200] при запросе существующего сервиса оплаты"
"skipped","Sat Jul 29 19:52:57 GMT 2023","Sat Jul 29 19:52:57 GMT 2023","0","tests.games.core.system_requirement","Test patch system requirement","TestSystemRequirementPartialUpdate","","","TG13-Test system requirement partial update","Проверка успешного ответа [200] при частичном обновлении системных требований"
"passed","Sat Jul 29 19:53:49 GMT 2023","Sat Jul 29 19:53:50 GMT 2023","903","tests.games.reference.languages","Test put languages","TestLanguagesUpdate","","","TG100-Test languages update","Проверка успешного ответа [200] при обновлении языка"
"passed","Sat Jul 29 19:53:21 GMT 2023","Sat Jul 29 19:53:23 GMT 2023","1910","tests.games.reference.languages","Regression-tests get languages","TestLanguagesRegression","","","TG95-Test read a language with a deleted ID","Проверка ответа [404] при запросе удаленного языка"
"skipped","Sat Jul 29 19:53:33 GMT 2023","Sat Jul 29 19:53:35 GMT 2023","1589","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG81-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Sat Jul 29 19:54:08 GMT 2023","Sat Jul 29 19:54:08 GMT 2023","0","tests.games.reference.subgenre","Test patch subgenre","TestSubgenrePartialUpdate","","","Test subgenre partial update","Проверка успешного ответа [200] при частичном обновлении поджанра"
"skipped","Sat Jul 29 19:54:19 GMT 2023","Sat Jul 29 19:54:19 GMT 2023","0","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Check the response 404 if id is incorrect 0.5","Проверка ответа [404] при запросе сервиса оплаты с некорректным id 0.5"
"passed","Sat Jul 29 19:53:15 GMT 2023","Sat Jul 29 19:53:16 GMT 2023","873","tests.games.reference.languages","Regression-tests delete languages","TestLanguagesDeleteRegression","","","TG91-Test deleting a language with a non-existent ID","Проверка ответа [404] при удалении языка c несуществующим ID"
"skipped","Sat Jul 29 19:52:58 GMT 2023","Sat Jul 29 19:52:58 GMT 2023","0","tests.games.core.system_requirement","Test put system requirement","TestSystemRequirementUpdate","","","TG14-Test system requirement update","Проверка успешного ответа [201] при обновлении системных требований"
"passed","Sat Jul 29 19:53:26 GMT 2023","Sat Jul 29 19:53:28 GMT 2023","1863","tests.games.reference.languages","Test post languages","TestLanguagesCreate","","","TG90-Test languages create","Проверка успешного ответа [201] при создании языка."
"passed","Sat Jul 29 19:54:14 GMT 2023","Sat Jul 29 19:54:15 GMT 2023","888","tests.games.utils","Test get filters prices list","TestFiltersPrices","","","TG104-Test filters prices list","Проверка успешного ответа [200] при запросе списка фльтра цены"
"passed","Sat Jul 29 19:54:17 GMT 2023","Sat Jul 29 19:54:17 GMT 2023","381","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Test external payments services list","Проверка успешного ответа [200] при запросе списка сервисов оплаты"
"passed","Sat Jul 29 19:53:29 GMT 2023","Sat Jul 29 19:53:30 GMT 2023","809","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG77-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Sat Jul 29 19:53:37 GMT 2023","Sat Jul 29 19:53:39 GMT 2023","1536","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG84-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sat Jul 29 19:54:31 GMT 2023","Sat Jul 29 19:54:33 GMT 2023","1681","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Check if we can not create the service with an existing name","Проверка ответа [400] при создании сервиса оплаты с уже существующим именем"
"skipped","Sat Jul 29 19:54:07 GMT 2023","Sat Jul 29 19:54:07 GMT 2023","0","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","Test subgenre read","Проверка успешного ответа [200] при запросе поджанра по ID."
