"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 30 21:15:03 GMT 2023","Sun Jul 30 21:15:03 GMT 2023","0","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Check the response 404 if id is incorrect (1, 2)","Проверка ответа [404] при запросе сервиса оплаты с некорректным id (1, 2)"
"passed","Sun Jul 30 21:14:57 GMT 2023","Sun Jul 30 21:15:00 GMT 2023","2072","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of deleting non-existent service by id","Проверка ответа [404] при удалении по id несуществующего сервиса оплаты"
"passed","Sun Jul 30 21:13:26 GMT 2023","Sun Jul 30 21:13:27 GMT 2023","1323","tests.games.reference.genre","Test get genre","TestGenre","","","TG49-Test genre read","Проверка успешного ответа [200] при запросе жанра по ID."
"skipped","Sun Jul 30 21:13:20 GMT 2023","Sun Jul 30 21:13:20 GMT 2023","0","tests.games.core.system_requirement","Test put system requirement","TestSystemRequirementUpdate","","","TG14-Test system requirement update","Проверка успешного ответа [201] при обновлении системных требований"
"skipped","Sun Jul 30 21:14:12 GMT 2023","Sun Jul 30 21:14:15 GMT 2023","2228","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG85-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sun Jul 30 21:13:39 GMT 2023","Sun Jul 30 21:13:40 GMT 2023","1345","tests.games.reference.languages","Test delete languages","TestLanguagesDelete","","","TG92-Test languages delete","Проверка успешного ответа [204] при удалении языка"
"passed","Sun Jul 30 21:13:22 GMT 2023","Sun Jul 30 21:13:24 GMT 2023","1262","tests.games.reference.genre","Test delete genre","TestGenreDelete","","","TG26-Test genre delete","Проверка успешного ответа [204] при удалении жанра"
"skipped","Sun Jul 30 21:14:04 GMT 2023","Sun Jul 30 21:14:07 GMT 2023","2648","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG81-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sun Jul 30 21:14:25 GMT 2023","Sun Jul 30 21:14:26 GMT 2023","1044","tests.games.reference.languages","Test put languages","TestLanguagesUpdate","","","TG100-Test languages update","Проверка успешного ответа [200] при обновлении языка"
"passed","Sun Jul 30 21:14:03 GMT 2023","Sun Jul 30 21:14:04 GMT 2023","1085","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG89-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Sun Jul 30 21:14:19 GMT 2023","Sun Jul 30 21:14:22 GMT 2023","2256","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG79-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"passed","Sun Jul 30 21:15:17 GMT 2023","Sun Jul 30 21:15:18 GMT 2023","1880","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Sun Jul 30 21:15:03 GMT 2023","Sun Jul 30 21:15:05 GMT 2023","1870","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Sun Jul 30 21:14:31 GMT 2023","Sun Jul 30 21:14:32 GMT 2023","1047","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","TG99-Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"passed","Sun Jul 30 21:14:22 GMT 2023","Sun Jul 30 21:14:24 GMT 2023","2238","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG86-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"skipped","Sun Jul 30 21:14:34 GMT 2023","Sun Jul 30 21:14:34 GMT 2023","0","tests.games.reference.product_languages","Test delete product languages","TestProductLanguagesDelete","","","TG16-Test product languages delete","Проверка успешного ответа [204] при удалении языка продукта"
"passed","Sun Jul 30 21:15:01 GMT 2023","Sun Jul 30 21:15:03 GMT 2023","1949","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Get existent service by id","Проверка успешного ответа [200] при запросе существующего сервиса оплаты"
"passed","Sun Jul 30 21:14:17 GMT 2023","Sun Jul 30 21:14:19 GMT 2023","2320","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG78-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"passed","Sun Jul 30 21:13:35 GMT 2023","Sun Jul 30 21:13:36 GMT 2023","1068","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"passed","Sun Jul 30 21:13:12 GMT 2023","Sun Jul 30 21:13:13 GMT 2023","1538","tests.games.community","Test get community comments","TestCommunityComments","","","TG1-Test community comments read","Проверка успешного ответа [200] при запросе коментариев пользователей."
"skipped","Sun Jul 30 21:14:46 GMT 2023","Sun Jul 30 21:14:46 GMT 2023","0","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","Test subgenre read","Проверка успешного ответа [200] при запросе поджанра по ID."
"passed","Sun Jul 30 21:15:25 GMT 2023","Sun Jul 30 21:15:27 GMT 2023","2495","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Check if we can not create the service with an existing name","Проверка ответа [400] при создании сервиса оплаты с уже существующим именем"
"passed","Sun Jul 30 21:15:09 GMT 2023","Sun Jul 30 21:15:11 GMT 2023","1845","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Sun Jul 30 21:14:10 GMT 2023","Sun Jul 30 21:14:12 GMT 2023","2344","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG84-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sun Jul 30 21:13:30 GMT 2023","Sun Jul 30 21:13:31 GMT 2023","1023","tests.games.reference.genre","Test patch genre","TestGenrePartialUpdate","","","Test genre partial update","Проверка успешного ответа [200] при частичном обновлении жанра"
"passed","Sun Jul 30 21:15:11 GMT 2023","Sun Jul 30 21:15:13 GMT 2023","1916","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Sun Jul 30 21:15:18 GMT 2023","Sun Jul 30 21:15:20 GMT 2023","1865","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Sun Jul 30 21:14:40 GMT 2023","Sun Jul 30 21:14:41 GMT 2023","1592","tests.games.reference.product_languages","Test post product languages","TestProductLanguagesCreate","","","TG15-Test product languages create","Проверка успешного ответа [201] при создании языка продукта."
"passed","Sun Jul 30 21:13:13 GMT 2023","Sun Jul 30 21:13:14 GMT 2023","1303","tests.games.community","Test get community review","TestCommunityReview","","","TG2-Test community review read","Проверка успешного ответа [200] при запросе обзора пользователей."
"passed","Sun Jul 30 21:13:48 GMT 2023","Sun Jul 30 21:13:51 GMT 2023","3137","tests.games.reference.languages","Regression-tests get languages","TestLanguagesRegression","","","TG95-Test read a language with a deleted ID","Проверка ответа [404] при запросе удаленного языка"
"skipped","Sun Jul 30 21:14:08 GMT 2023","Sun Jul 30 21:14:10 GMT 2023","2309","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG83-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Sun Jul 30 21:14:50 GMT 2023","Sun Jul 30 21:14:52 GMT 2023","2189","tests.games.reference.subgenre","Test post Subgenre","TestGenreCreate","","","Test subgenre create","Проверка успешного ответа [201] при создании поджанра"
"passed","Sun Jul 30 21:14:56 GMT 2023","Sun Jul 30 21:14:57 GMT 2023","1040","tests.games.utils","Test get filters prices list","TestFiltersPrices","","","TG104-Test filters prices list","Проверка успешного ответа [200] при запросе списка фльтра цены"
"skipped","Sun Jul 30 21:14:38 GMT 2023","Sun Jul 30 21:14:38 GMT 2023","0","tests.games.reference.product_languages","Test patch product languages","TestProductLanguagesPartialUpdate","","","TG18-Test product languages partial update","Проверка успешного ответа [200] при частичном обновлении языка продукта"
"passed","Sun Jul 30 21:13:59 GMT 2023","Sun Jul 30 21:14:00 GMT 2023","1149","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG77-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Sun Jul 30 21:13:19 GMT 2023","Sun Jul 30 21:13:20 GMT 2023","1019","tests.games.core.system_requirement","Test post system requirement","TestSystemRequirementCreate","","","TG10-Test system requirement create","Проверка успешного ответа [201] при создании системных требований"
"skipped","Sun Jul 30 21:14:15 GMT 2023","Sun Jul 30 21:14:17 GMT 2023","2326","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG88-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sun Jul 30 21:13:32 GMT 2023","Sun Jul 30 21:13:34 GMT 2023","2246","tests.games.reference.genre","Test post genre","TestGenreCreate","","","TG74-Test genre create","Проверка успешного ответа [201] при создании жанра"
"passed","Sun Jul 30 21:15:07 GMT 2023","Sun Jul 30 21:15:09 GMT 2023","1891","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Sun Jul 30 21:15:00 GMT 2023","Sun Jul 30 21:15:01 GMT 2023","1267","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of successful deleting existent service by id","Проверка успешного ответа [204] при удалении по id существующего сервиса оплаты"
