"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 12:47:49 GMT 2023","Fri Aug 04 12:47:50 GMT 2023","891","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG82-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Fri Aug 04 12:47:05 GMT 2023","Fri Aug 04 12:47:05 GMT 2023","949","tests.games.community","Test get community comments","TestCommunityComments","","","TG1-Test community comments read","Проверка успешного ответа [200] при запросе коментариев пользователей."
"passed","Fri Aug 04 12:47:31 GMT 2023","Fri Aug 04 12:47:32 GMT 2023","1242","tests.games.reference.languages","Test get languages","TestLanguages","","","TG97-Test languages read","Проверка успешного ответа [200] при запросе языка по ID."
"skipped","Fri Aug 04 12:47:55 GMT 2023","Fri Aug 04 12:47:57 GMT 2023","1585","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG88-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Fri Aug 04 12:48:25 GMT 2023","Fri Aug 04 12:48:25 GMT 2023","0","tests.games.reference.subgenre","Test put subgenre","TestSubgenreUpdate","","","Test subgenre update","Проверка успешного ответа [201] при обновлении поджанра"
"skipped","Fri Aug 04 12:47:10 GMT 2023","Fri Aug 04 12:47:10 GMT 2023","876","tests.games.core.system_requirement","Test post system requirement","TestSystemRequirementCreate","","","TG10-Test system requirement create","Проверка успешного ответа [201] при создании системных требований"
"passed","Fri Aug 04 12:47:57 GMT 2023","Fri Aug 04 12:47:59 GMT 2023","2034","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG78-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"skipped","Fri Aug 04 12:48:16 GMT 2023","Fri Aug 04 12:48:18 GMT 2023","1928","tests.games.reference.product_languages","Test post product languages","TestProductLanguagesCreate","","","TG15-Test product languages create","Проверка успешного ответа [201] при создании языка продукта."
"passed","Fri Aug 04 12:48:35 GMT 2023","Fri Aug 04 12:48:36 GMT 2023","420","tests.payments.external_payments.services","Test patch services","TestPaymentsPostList","","","Check if we can not partially update service with an empty name","Проверка ответа [400] при частичном обновлении сервиса с пустым именем (пробел)"
"passed","Fri Aug 04 12:47:46 GMT 2023","Fri Aug 04 12:47:47 GMT 2023","705","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG89-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Fri Aug 04 12:48:31 GMT 2023","Fri Aug 04 12:48:31 GMT 2023","399","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of successful deleting existent service by id","Проверка успешного ответа [204] при удалении по id существующего сервиса оплаты"
"passed","Fri Aug 04 12:48:03 GMT 2023","Fri Aug 04 12:48:04 GMT 2023","1072","tests.games.reference.languages","Test put languages","TestLanguagesUpdate","","","TG100-Test languages update","Проверка успешного ответа [200] при обновлении языка"
"skipped","Fri Aug 04 12:47:50 GMT 2023","Fri Aug 04 12:47:51 GMT 2023","1579","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG83-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Fri Aug 04 12:47:25 GMT 2023","Fri Aug 04 12:47:26 GMT 2023","898","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"passed","Fri Aug 04 12:47:05 GMT 2023","Fri Aug 04 12:47:06 GMT 2023","874","tests.games.community","Test get community review","TestCommunityReview","","","TG2-Test community review read","Проверка успешного ответа [200] при запросе обзора пользователей."
"skipped","Fri Aug 04 12:48:13 GMT 2023","Fri Aug 04 12:48:13 GMT 2023","0","tests.games.reference.product_languages","Test get product languages","TestProductLanguages","","","TG19-Test product languages  read","Проверка успешного ответа [200] при запросе списка языков продукта"
"passed","Fri Aug 04 12:48:33 GMT 2023","Fri Aug 04 12:48:33 GMT 2023","415","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Get existent service by id","Проверка успешного ответа [200] при запросе существующего сервиса оплаты"
"passed","Fri Aug 04 12:48:32 GMT 2023","Fri Aug 04 12:48:32 GMT 2023","396","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Test external payments services list","Проверка успешного ответа [200] при запросе списка сервисов оплаты"
"passed","Fri Aug 04 12:47:39 GMT 2023","Fri Aug 04 12:47:41 GMT 2023","1568","tests.games.reference.languages","Test post languages","TestLanguagesCreate","","","TG90-Test languages create","Проверка успешного ответа [201] при создании языка."
"passed","Fri Aug 04 12:48:42 GMT 2023","Fri Aug 04 12:48:42 GMT 2023","378","tests.payments.external_payments.services","Test put services","TestPaymentsPostList","","","Check of partially update service","Проверка ответа [200] при частичном обновлении сервиса"
"skipped","Fri Aug 04 12:47:08 GMT 2023","Fri Aug 04 12:47:08 GMT 2023","0","tests.games.core.system_requirement","Test get system requirement","TestSystemRequirement","","","TG12-Test system requirement read","Проверка успешного ответа [200] при запросе системных требований по ID."
"passed","Fri Aug 04 12:47:35 GMT 2023","Fri Aug 04 12:47:37 GMT 2023","1770","tests.games.reference.languages","Regression-tests get languages","TestLanguagesRegression","","","TG95-Test read a language with a deleted ID","Проверка ответа [404] при запросе удаленного языка"
"passed","Fri Aug 04 12:47:29 GMT 2023","Fri Aug 04 12:47:30 GMT 2023","871","tests.games.reference.languages","Test get languages","TestLanguages","","","TG93-Test languages list","Проверка успешного ответа [200] при запросе списка языков."
"passed","Fri Aug 04 12:48:20 GMT 2023","Fri Aug 04 12:48:21 GMT 2023","730","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","TG101-Test subgenre list","Проверка успешного ответа [200] при запросе списка поджанров"
"passed","Fri Aug 04 12:47:43 GMT 2023","Fri Aug 04 12:47:44 GMT 2023","1363","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG77-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Fri Aug 04 12:48:12 GMT 2023","Fri Aug 04 12:48:13 GMT 2023","902","tests.games.reference.product_languages","Test get product languages","TestProductLanguages","","","TG17-Test product languages list","Проверка успешного ответа [200] при запросе списка языков продукта"
"passed","Fri Aug 04 12:48:06 GMT 2023","Fri Aug 04 12:48:07 GMT 2023","730","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","TG98-Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"skipped","Fri Aug 04 12:48:18 GMT 2023","Fri Aug 04 12:48:18 GMT 2023","0","tests.games.reference.product_languages","Test put product languages","TestProductLanguagesUpdate","","","TG20-Test product languages update","Проверка успешного ответа [200] при обновлении языка продукта"
