"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 16:41:31 GMT 2023","Mon Jul 24 16:41:33 GMT 2023","1563","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of deleting non-existent service by id","Проверка ответа [404] при удалении по id несуществующего сервиса оплаты"
"skipped","Mon Jul 24 16:40:15 GMT 2023","Mon Jul 24 16:40:15 GMT 2023","0","tests.games.core.system_requirement","Test patch system requirement","TestSystemRequirementPartialUpdate","","","Test system requirement partial update","Проверка успешного ответа [200] при частичном обновлении системных требований"
"skipped","Mon Jul 24 16:40:57 GMT 2023","Mon Jul 24 16:40:59 GMT 2023","1770","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Mon Jul 24 16:41:42 GMT 2023","Mon Jul 24 16:41:44 GMT 2023","1278","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Mon Jul 24 16:41:34 GMT 2023","Mon Jul 24 16:41:34 GMT 2023","438","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Test external payments services list","Проверка успешного ответа [200] при запросе списка сервисов оплаты"
"skipped","Mon Jul 24 16:41:24 GMT 2023","Mon Jul 24 16:41:24 GMT 2023","0","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","Test subgenre read","Проверка успешного ответа [200] при запросе поджанра по ID."
"passed","Mon Jul 24 16:40:50 GMT 2023","Mon Jul 24 16:40:51 GMT 2023","806","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Mon Jul 24 16:41:41 GMT 2023","Mon Jul 24 16:41:42 GMT 2023","1272","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Mon Jul 24 16:41:49 GMT 2023","Mon Jul 24 16:41:51 GMT 2023","1709","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Check if we can not create the service with an existing name","Проверка ответа [400] при создании сервиса оплаты с уже существующим именем"
"passed","Mon Jul 24 16:41:47 GMT 2023","Mon Jul 24 16:41:48 GMT 2023","1309","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Mon Jul 24 16:40:56 GMT 2023","Mon Jul 24 16:40:57 GMT 2023","1837","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Mon Jul 24 16:40:18 GMT 2023","Mon Jul 24 16:40:19 GMT 2023","917","tests.games.reference.genre","Test delete genre","TestGenreDelete","","","Test genre delete","Проверка успешного ответа [204] при удалении жанра"
"passed","Mon Jul 24 16:40:45 GMT 2023","Mon Jul 24 16:40:46 GMT 2023","994","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Mon Jul 24 16:40:44 GMT 2023","Mon Jul 24 16:40:45 GMT 2023","1858","tests.games.reference.languages","Test post languages","TestLanguagesCreate","","","Test languages create","Проверка успешного ответа [201] при создании языка."
"passed","Mon Jul 24 16:40:31 GMT 2023","Mon Jul 24 16:40:32 GMT 2023","1025","tests.games.reference.languages","Test delete languages","TestLanguagesDelete","","","Test languages delete","Проверка успешного ответа [204] при удалении языка"
"passed","Mon Jul 24 16:41:23 GMT 2023","Mon Jul 24 16:41:24 GMT 2023","966","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","Test subgenre list","Проверка успешного ответа [200] при запросе списка поджанров"
"passed","Mon Jul 24 16:41:13 GMT 2023","Mon Jul 24 16:41:14 GMT 2023","1101","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"passed","Mon Jul 24 16:40:48 GMT 2023","Mon Jul 24 16:40:50 GMT 2023","1947","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Mon Jul 24 16:40:54 GMT 2023","Mon Jul 24 16:40:56 GMT 2023","1777","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Mon Jul 24 16:41:05 GMT 2023","Mon Jul 24 16:41:07 GMT 2023","1996","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"skipped","Mon Jul 24 16:40:16 GMT 2023","Mon Jul 24 16:40:17 GMT 2023","887","tests.games.core.system_requirement","Test post system requirement","TestSystemRequirementCreate","","","Test system requirement create","Проверка успешного ответа [201] при создании системных требований"
"passed","Mon Jul 24 16:41:34 GMT 2023","Mon Jul 24 16:41:36 GMT 2023","1276","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Get existent service by id","Проверка успешного ответа [200] при запросе существующего сервиса оплаты"
"passed","Mon Jul 24 16:41:37 GMT 2023","Mon Jul 24 16:41:38 GMT 2023","1359","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Mon Jul 24 16:40:52 GMT 2023","Mon Jul 24 16:40:54 GMT 2023","1945","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Mon Jul 24 16:41:33 GMT 2023","Mon Jul 24 16:41:34 GMT 2023","915","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of successful deleting existent service by id","Проверка успешного ответа [204] при удалении по id существующего сервиса оплаты"
"passed","Mon Jul 24 16:41:07 GMT 2023","Mon Jul 24 16:41:08 GMT 2023","882","tests.games.reference.languages","Test put languages","TestLanguagesUpdate","","","Test languages update","Проверка успешного ответа [200] при обновлении языка"
"skipped","Mon Jul 24 16:41:25 GMT 2023","Mon Jul 24 16:41:25 GMT 2023","0","tests.games.reference.subgenre","Test patch subgenre","TestSubgenrePartialUpdate","","","Test subgenre partial update","Проверка успешного ответа [200] при частичном обновлении поджанра"
"skipped","Mon Jul 24 16:40:08 GMT 2023","Mon Jul 24 16:40:08 GMT 2023","0","tests.games.core.system_requirement","Test delete system requirement","TestSystemRequirementDelete","","","Test system requirement delete","Проверка успешного ответа [204] при удалении системных требований"
"passed","Mon Jul 24 16:41:36 GMT 2023","Mon Jul 24 16:41:37 GMT 2023","1367","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Mon Jul 24 16:41:48 GMT 2023","Mon Jul 24 16:41:49 GMT 2023","1289","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
