"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 15:59:35 GMT 2023","Wed Jul 26 15:59:36 GMT 2023","1570","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Wed Jul 26 15:59:40 GMT 2023","Wed Jul 26 15:59:41 GMT 2023","1569","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Wed Jul 26 15:58:12 GMT 2023","Wed Jul 26 15:58:13 GMT 2023","890","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"passed","Wed Jul 26 15:59:24 GMT 2023","Wed Jul 26 15:59:25 GMT 2023","1002","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of successful deleting existent service by id","Проверка успешного ответа [204] при удалении по id существующего сервиса оплаты"
"skipped","Wed Jul 26 15:58:44 GMT 2023","Wed Jul 26 15:58:46 GMT 2023","2216","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Wed Jul 26 15:59:26 GMT 2023","Wed Jul 26 15:59:28 GMT 2023","1602","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Get existent service by id","Проверка успешного ответа [200] при запросе существующего сервиса оплаты"
"passed","Wed Jul 26 15:59:28 GMT 2023","Wed Jul 26 15:59:29 GMT 2023","518","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Check the response 404 if id is incorrect (1, 2)","Проверка ответа [404] при запросе сервиса оплаты с некорректным id (1, 2)"
"passed","Wed Jul 26 15:58:32 GMT 2023","Wed Jul 26 15:58:34 GMT 2023","1903","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Wed Jul 26 15:59:04 GMT 2023","Wed Jul 26 15:59:04 GMT 2023","0","tests.games.reference.product_languages","Test delete product languages","TestProductLanguagesDelete","","","Test product languages delete","Проверка успешного ответа [204] при удалении языка продукта"
"passed","Wed Jul 26 15:58:49 GMT 2023","Wed Jul 26 15:58:51 GMT 2023","1909","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"passed","Wed Jul 26 15:58:36 GMT 2023","Wed Jul 26 15:58:37 GMT 2023","1034","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Wed Jul 26 15:58:24 GMT 2023","Wed Jul 26 15:58:26 GMT 2023","2433","tests.games.reference.languages","Regression-tests get languages","TestLanguagesRegression","","","Test read a language with a deleted ID","Проверка ответа [404] при запросе удаленного языка"
"passed","Wed Jul 26 15:59:36 GMT 2023","Wed Jul 26 15:59:38 GMT 2023","1535","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Wed Jul 26 15:59:17 GMT 2023","Wed Jul 26 15:59:18 GMT 2023","1494","tests.games.reference.subgenre","Test post Subgenre","TestGenreCreate","","","Test subgenre create","Проверка успешного ответа [201] при создании поджанра"
"passed","Wed Jul 26 15:58:31 GMT 2023","Wed Jul 26 15:58:32 GMT 2023","1027","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Wed Jul 26 15:59:09 GMT 2023","Wed Jul 26 15:59:10 GMT 2023","1283","tests.games.reference.product_languages","Test post product languages","TestProductLanguagesCreate","","","Test product languages create","Проверка успешного ответа [201] при создании языка продукта."
"passed","Wed Jul 26 15:59:33 GMT 2023","Wed Jul 26 15:59:35 GMT 2023","1600","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
