"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 06 09:36:23 GMT 2023","Wed Sep 06 09:36:24 GMT 2023","487","tests.payments.payment_accounts.owner.field_gift_time","Test patch owners","TestPaymentPatchOwner","","","Test payment accounts owner partial update valid value param gift_time","Проверка успешного ответа [200] при частичном обновлении gift_time валидными значениями"
"passed","Wed Sep 06 09:35:47 GMT 2023","Wed Sep 06 09:35:49 GMT 2023","1649","tests.payments.payment_accounts","Tests post balance","TestBalancesPostList","","","Check balance data of the user","Проверка успешного ответа [200] при получении информации о балансе у имеющегося юзера"
"passed","Wed Sep 06 09:33:56 GMT 2023","Wed Sep 06 09:33:57 GMT 2023","799","tests.games.core.system_requirement","Test get system requirement","TestSystemRequirement","","","TG9-Test system requirement list","Проверка успешного ответа [200] при запросе списка системных требований."
"passed","Wed Sep 06 09:36:29 GMT 2023","Wed Sep 06 09:36:29 GMT 2023","506","tests.payments.payment_accounts.owner.field_gift_time","Test put owners","TestPaymentPutOwner","","","Test payment accounts owner update valid value param gift_time","Проверка успешного ответа [200] при изменении gift_time владельца валидными значениями"
"skipped","Wed Sep 06 09:35:57 GMT 2023","Wed Sep 06 09:35:57 GMT 2023","522","tests.payments.payment_accounts.owner.field_commission","Test patch owners","TestPaymentPatchOwner","","","Test payment accounts owner partial update valid value param commission","Проверка успешного ответа [200] при частичном обновлении commission валидными значениями"
"passed","Wed Sep 06 09:34:14 GMT 2023","Wed Sep 06 09:34:15 GMT 2023","994","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"passed","Wed Sep 06 09:36:09 GMT 2023","Wed Sep 06 09:36:10 GMT 2023","543","tests.payments.payment_accounts.owner.field_frozen_time","Test patch owners","TestPaymentPatchOwner","","","Test payment accounts owner partial update valid value param frozen_time","Проверка успешного ответа [200] при частичном обновлении frozen_time валидными значениями"
"passed","Wed Sep 06 09:36:12 GMT 2023","Wed Sep 06 09:36:12 GMT 2023","519","tests.payments.payment_accounts.owner.field_frozen_time","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param frozen_time","Проверка ответа [400] при частичном обновлении frozen_time  невалидными значениями"
"passed","Wed Sep 06 09:35:56 GMT 2023","Wed Sep 06 09:35:57 GMT 2023","522","tests.payments.payment_accounts.owner.field_commission","Test patch owners","TestPaymentPatchOwner","","","Test payment accounts owner partial update valid value param commission","Проверка успешного ответа [200] при частичном обновлении commission валидными значениями"
"passed","Wed Sep 06 09:34:31 GMT 2023","Wed Sep 06 09:34:33 GMT 2023","2300","tests.games.reference.languages","Test post languages","TestLanguagesCreate","","","TG90-Test languages create","Проверка успешного ответа [201] при создании языка."
"passed","Wed Sep 06 09:36:02 GMT 2023","Wed Sep 06 09:36:03 GMT 2023","486","tests.payments.payment_accounts.owner.field_commission","Test put owners","TestPaymentPutOwner","","","Test payment accounts owner update valid value param commission","Проверка успешного ответа [200] при изменении commission владельца валидными значениями"
