"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 23 16:13:57 GMT 2023","Sun Jul 23 16:13:57 GMT 2023","0","tests.games.reference.subgenre","Test patch subgenre","TestSubgenrePartialUpdate","","","Test subgenre partial update","Проверка успешного ответа [200] при частичном обновлении поджанра"
"passed","Sun Jul 23 16:13:12 GMT 2023","Sun Jul 23 16:13:13 GMT 2023","1046","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Sun Jul 23 16:13:31 GMT 2023","Sun Jul 23 16:13:33 GMT 2023","2242","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"passed","Sun Jul 23 16:13:07 GMT 2023","Sun Jul 23 16:13:10 GMT 2023","2280","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Sun Jul 23 16:14:04 GMT 2023","Sun Jul 23 16:14:05 GMT 2023","1073","tests.games.utils","Test get filters platforms list","TestFiltersPlatforms","","","Test filters platforms list","Проверка успешного ответа [200] при запросе фильтра по операционной системе"
"passed","Sun Jul 23 16:12:45 GMT 2023","Sun Jul 23 16:12:46 GMT 2023","1287","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"skipped","Sun Jul 23 16:12:24 GMT 2023","Sun Jul 23 16:12:24 GMT 2023","0","tests.games.core.system_requirement","Test delete system requirement","TestSystemRequirementDelete","","","Test system requirement delete","Проверка успешного ответа [204] при удалении системных требований"
"passed","Sun Jul 23 16:14:18 GMT 2023","Sun Jul 23 16:14:20 GMT 2023","1994","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Sun Jul 23 16:13:44 GMT 2023","Sun Jul 23 16:13:44 GMT 2023","0","tests.games.reference.product_languages","Test delete product languages","TestProductLanguagesDelete","","","Test product languages delete","Проверка успешного ответа [204] при удалении языка продукта"
"failed","Sun Jul 23 16:13:19 GMT 2023","Sun Jul 23 16:13:21 GMT 2023","2364","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"failed","Sun Jul 23 16:12:26 GMT 2023","Sun Jul 23 16:12:28 GMT 2023","1253","tests.games.core.system_requirement","Test get system requirement","TestSystemRequirement","","","Test system requirement read","Проверка успешного ответа [200] при запросе системных требований по ID."
"passed","Sun Jul 23 16:13:10 GMT 2023","Sun Jul 23 16:13:12 GMT 2023","2441","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"failed","Sun Jul 23 16:13:17 GMT 2023","Sun Jul 23 16:13:19 GMT 2023","2279","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sun Jul 23 16:13:01 GMT 2023","Sun Jul 23 16:13:02 GMT 2023","1073","tests.games.reference.languages","Test patch languages","TestLanguagesPartialUpdate","","","Test languages partial update","Проверка успешного ответа [200] при частичном обновлении языка"
"passed","Sun Jul 23 16:14:17 GMT 2023","Sun Jul 23 16:14:18 GMT 2023","1947","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Sun Jul 23 16:14:03 GMT 2023","Sun Jul 23 16:14:04 GMT 2023","1037","tests.games.utils","Test get filters genres list","TestFiltersGenres","","","Test filters genres list","Проверка успешного ответа [200] при запросе фильтра по жанру игр"
"passed","Sun Jul 23 16:12:30 GMT 2023","Sun Jul 23 16:12:31 GMT 2023","1158","tests.games.core.system_requirement","Test put system requirement","TestSystemRequirementUpdate","","","Test system requirement update","Проверка успешного ответа [201] при обновлении системных требований"
"failed","Sun Jul 23 16:13:14 GMT 2023","Sun Jul 23 16:13:17 GMT 2023","2508","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sun Jul 23 16:13:38 GMT 2023","Sun Jul 23 16:13:39 GMT 2023","1080","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"passed","Sun Jul 23 16:13:13 GMT 2023","Sun Jul 23 16:13:14 GMT 2023","1179","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Sun Jul 23 16:12:39 GMT 2023","Sun Jul 23 16:12:40 GMT 2023","1089","tests.games.reference.genre","Test patch genre","TestGenrePartialUpdate","","","Test genre partial update","Проверка успешного ответа [200] при частичном обновлении жанра"
"skipped","Sun Jul 23 16:14:01 GMT 2023","Sun Jul 23 16:14:01 GMT 2023","0","tests.games.reference.subgenre","Test put subgenre","TestSubgenreUpdate","","","Test subgenre update","Проверка успешного ответа [201] при обновлении поджанра"
"passed","Sun Jul 23 16:12:55 GMT 2023","Sun Jul 23 16:12:57 GMT 2023","1323","tests.games.reference.languages","Regression-tests get languages","TestLanguagesRegression","","","Test read a language with a non-existent ID","Проверка ответа [404] при запросе языка c несуществующим ID"
