"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 07 10:03:16 GMT 2023","Mon Aug 07 10:03:17 GMT 2023","822","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","TG101-Test subgenre list","Проверка успешного ответа [200] при запросе списка поджанров"
"passed","Mon Aug 07 10:02:33 GMT 2023","Mon Aug 07 10:02:35 GMT 2023","1907","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG87-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Mon Aug 07 10:03:22 GMT 2023","Mon Aug 07 10:03:22 GMT 2023","0","tests.games.reference.subgenre","Test put subgenre","TestSubgenreUpdate","","","Test subgenre update","Проверка успешного ответа [201] при обновлении поджанра"
"skipped","Mon Aug 07 10:03:20 GMT 2023","Mon Aug 07 10:03:22 GMT 2023","1828","tests.games.reference.subgenre","Test post Subgenre","TestGenreCreate","","","Test subgenre create","Проверка успешного ответа [201] при создании поджанра"
"passed","Mon Aug 07 10:02:06 GMT 2023","Mon Aug 07 10:02:07 GMT 2023","1006","tests.games.reference.genre","Test patch genre","TestGenrePartialUpdate","","","Test genre partial update","Проверка успешного ответа [200] при частичном обновлении жанра"
"passed","Mon Aug 07 10:03:29 GMT 2023","Mon Aug 07 10:03:29 GMT 2023","499","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of successful deleting existent service by id","Проверка успешного ответа [204] при удалении по id существующего сервиса оплаты"
"skipped","Mon Aug 07 10:02:36 GMT 2023","Mon Aug 07 10:02:38 GMT 2023","2033","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG81-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Mon Aug 07 10:02:11 GMT 2023","Mon Aug 07 10:02:12 GMT 2023","1058","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"passed","Mon Aug 07 10:01:58 GMT 2023","Mon Aug 07 10:02:00 GMT 2023","1288","tests.games.reference.genre","Test delete genre","TestGenreDelete","","","TG26-Test genre delete","Проверка успешного ответа [204] при удалении жанра"
"passed","Mon Aug 07 10:03:39 GMT 2023","Mon Aug 07 10:03:40 GMT 2023","490","tests.payments.external_payments.services","Test put services","TestPaymentsPostList","","","Check if we can not partially update service with an empty name","Проверка ответа [400] при частичном обновлении сервиса с пустым именем"
"skipped","Mon Aug 07 10:01:55 GMT 2023","Mon Aug 07 10:01:56 GMT 2023","972","tests.games.core.system_requirement","Test post system requirement","TestSystemRequirementCreate","","","TG10-Test system requirement create","Проверка успешного ответа [201] при создании системных требований"
"passed","Mon Aug 07 10:02:35 GMT 2023","Mon Aug 07 10:02:36 GMT 2023","975","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG89-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Mon Aug 07 10:02:58 GMT 2023","Mon Aug 07 10:02:59 GMT 2023","1043","tests.games.reference.languages","Test put languages","TestLanguagesUpdate","","","TG100-Test languages update","Проверка успешного ответа [200] при обновлении языка"
"passed","Mon Aug 07 10:03:36 GMT 2023","Mon Aug 07 10:03:37 GMT 2023","586","tests.payments.external_payments.services","Test patch services","TestPaymentsPostList","","","Check of partially update service","Проверка ответа [200] при частичном обновлении сервиса"
"passed","Mon Aug 07 10:02:26 GMT 2023","Mon Aug 07 10:02:27 GMT 2023","1003","tests.games.reference.languages","Test patch languages","TestLanguagesPartialUpdate","","","TG94-Test languages partial update","Проверка успешного ответа [200] при частичном обновлении языка"
"passed","Mon Aug 07 10:03:43 GMT 2023","Mon Aug 07 10:03:43 GMT 2023","661","tests.payments.external_payments.services","Test put services","TestPaymentsPostList","","","Check of partially update service","Проверка ответа [200] при частичном обновлении сервиса"
"passed","Mon Aug 07 10:02:38 GMT 2023","Mon Aug 07 10:02:40 GMT 2023","1268","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG82-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Mon Aug 07 10:01:54 GMT 2023","Mon Aug 07 10:01:54 GMT 2023","0","tests.games.core.system_requirement","Test patch system requirement","TestSystemRequirementPartialUpdate","","","TG13-Test system requirement partial update","Проверка успешного ответа [200] при частичном обновлении системных требований"
"skipped","Mon Aug 07 10:03:19 GMT 2023","Mon Aug 07 10:03:19 GMT 2023","0","tests.games.reference.subgenre","Test patch subgenre","TestSubgenrePartialUpdate","","","Test subgenre partial update","Проверка успешного ответа [200] при частичном обновлении поджанра"
"passed","Mon Aug 07 10:02:50 GMT 2023","Mon Aug 07 10:02:52 GMT 2023","2187","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG78-Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"skipped","Mon Aug 07 10:03:15 GMT 2023","Mon Aug 07 10:03:15 GMT 2023","0","tests.games.reference.subgenre","Test delete subgenre","TestSubgenreDelete","","","Test subgenre delete","Проверка успешного ответа [204] при удалении поджанра"
