"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 16:50:23 GMT 2023","Thu Aug 24 16:50:23 GMT 2023","430","tests.payments.payment_accounts","Tests get balance by uuid","TestPaymentsBalancesGet","","","Check balance of non-existent user","Проверка ответа [404] при проверке баланса у пользователя с несуществующим <module 'uuid' from '/usr/local/lib/python3.11/uuid.py'>"
"passed","Thu Aug 24 16:50:40 GMT 2023","Thu Aug 24 16:50:40 GMT 2023","428","tests.payments.payment_accounts.owner.field_frozen_time","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param frozen_time","Проверка ответа [400] при частичном обновлении frozen_time  невалидными значениями"
"passed","Thu Aug 24 16:49:19 GMT 2023","Thu Aug 24 16:49:21 GMT 2023","1588","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG87-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"passed","Thu Aug 24 16:51:10 GMT 2023","Thu Aug 24 16:51:11 GMT 2023","479","tests.payments.payment_accounts.payout","Tests post payout data regression","TestPaymentsPayoutDataPostRegression","","","Create payout data use invalid value fields account_number and payout_type","Проверка ответа [400] при создании данных о выплатах используя невалидные значения"
"skipped","Thu Aug 24 16:49:53 GMT 2023","Thu Aug 24 16:49:53 GMT 2023","0","tests.games.reference.subgenre","Test delete subgenre","TestSubgenreDelete","","","Test subgenre delete","Проверка успешного ответа [204] при удалении поджанра"
"skipped","Thu Aug 24 16:51:01 GMT 2023","Thu Aug 24 16:51:01 GMT 2023","438","tests.payments.payment_accounts.owner.field_payout_day_of_month","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param payout_day_of_month","Проверка ответа [400] при частичном обновлении payout_day_of_month невалидными значениями"
"passed","Thu Aug 24 16:50:31 GMT 2023","Thu Aug 24 16:50:32 GMT 2023","431","tests.payments.payment_accounts.owner.field_commission","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param commission","Проверка ответа [400] при частичном обновлении commission невалидными значениями"
"passed","Thu Aug 24 16:50:40 GMT 2023","Thu Aug 24 16:50:41 GMT 2023","464","tests.payments.payment_accounts.owner.field_frozen_time","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param frozen_time","Проверка ответа [400] при частичном обновлении frozen_time  невалидными значениями"
"passed","Thu Aug 24 16:50:48 GMT 2023","Thu Aug 24 16:50:49 GMT 2023","409","tests.payments.payment_accounts.owner.field_frozen_time","Test put owners regression","TestPaymentPutOwnerRegression","","","Test payment accounts owner update invalid value param frozen_time","Проверка ответа [400] при изменении frozen_time владельца невалидными значениями"
"passed","Thu Aug 24 16:50:33 GMT 2023","Thu Aug 24 16:50:33 GMT 2023","440","tests.payments.payment_accounts.owner.field_commission","Test put owners","TestPaymentPutOwner","","","Test payment accounts owner update valid value param commission","Проверка успешного ответа [200] при изменении commission владельца валидными значениями"
