"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 15:47:03 GMT 2023","Wed Jul 26 15:47:05 GMT 2023","1841","tests.games.reference.genre","Test post genre","TestGenreCreate","","","Test genre create","Проверка успешного ответа [201] при создании жанра"
"passed","Wed Jul 26 15:47:41 GMT 2023","Wed Jul 26 15:47:43 GMT 2023","1763","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"skipped","Wed Jul 26 15:46:49 GMT 2023","Wed Jul 26 15:46:49 GMT 2023","0","tests.games.core.system_requirement","Test delete system requirement","TestSystemRequirementDelete","","","Test system requirement delete","Проверка успешного ответа [204] при удалении системных требований"
"passed","Wed Jul 26 15:48:14 GMT 2023","Wed Jul 26 15:48:16 GMT 2023","1301","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Wed Jul 26 15:47:57 GMT 2023","Wed Jul 26 15:47:57 GMT 2023","0","tests.games.reference.product_languages","Test put product languages","TestProductLanguagesUpdate","","","Test product languages update","Проверка успешного ответа [200] при обновлении языка продукта"
"passed","Wed Jul 26 15:48:07 GMT 2023","Wed Jul 26 15:48:08 GMT 2023","725","tests.games.utils","Test get filters prices list","TestFiltersPrices","","","Test filters prices list","Проверка успешного ответа [200] при запросе списка фльтра цены"
"passed","Wed Jul 26 15:47:18 GMT 2023","Wed Jul 26 15:47:19 GMT 2023","916","tests.games.reference.languages","Test patch languages","TestLanguagesPartialUpdate","","","Test languages partial update","Проверка успешного ответа [200] при частичном обновлении языка"
"skipped","Wed Jul 26 15:46:53 GMT 2023","Wed Jul 26 15:46:54 GMT 2023","715","tests.games.core.system_requirement","Test post system requirement","TestSystemRequirementCreate","","","Test system requirement create","Проверка успешного ответа [201] при создании системных требований"
"passed","Wed Jul 26 15:48:08 GMT 2023","Wed Jul 26 15:48:10 GMT 2023","1442","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of deleting non-existent service by id","Проверка ответа [404] при удалении по id несуществующего сервиса оплаты"
"skipped","Wed Jul 26 15:47:53 GMT 2023","Wed Jul 26 15:47:53 GMT 2023","0","tests.games.reference.product_languages","Test get product languages","TestProductLanguages","","","Test product languages  read","Проверка успешного ответа [200] при запросе списка языков продукта"
"skipped","Wed Jul 26 15:47:32 GMT 2023","Wed Jul 26 15:47:34 GMT 2023","1954","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Wed Jul 26 15:48:13 GMT 2023","Wed Jul 26 15:48:14 GMT 2023","1269","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"skipped","Wed Jul 26 15:48:07 GMT 2023","Wed Jul 26 15:48:07 GMT 2023","860","tests.games.utils","Test get filters platforms list","TestFiltersPlatforms","","","Test filters platforms list","Проверка успешного ответа [200] при запросе фильтра по операционной системе"
"passed","Wed Jul 26 15:47:38 GMT 2023","Wed Jul 26 15:47:40 GMT 2023","2091","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with atypical value","Проверка ответа [200] при создании нетипичного значения языка"
"skipped","Wed Jul 26 15:48:02 GMT 2023","Wed Jul 26 15:48:02 GMT 2023","0","tests.games.reference.subgenre","Test patch subgenre","TestSubgenrePartialUpdate","","","Test subgenre partial update","Проверка успешного ответа [200] при частичном обновлении поджанра"
"passed","Wed Jul 26 15:48:13 GMT 2023","Wed Jul 26 15:48:13 GMT 2023","432","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Check the response 404 if id is incorrect (1, 2)","Проверка ответа [404] при запросе сервиса оплаты с некорректным id (1, 2)"
