"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 18 11:43:51 GMT 2023","Fri Aug 18 11:43:52 GMT 2023","429","tests.payments.external_payments.services","Test get payment services","TestPaymentsServicesGet","","","Test external payments services list","Проверка успешного ответа [200] при запросе списка сервисов оплаты"
"passed","Fri Aug 18 11:43:51 GMT 2023","Fri Aug 18 11:43:51 GMT 2023","372","tests.payments.external_payments.services","Test delete payment services","TestPaymentsServicesDelete","","","Check the response 404 while deleting multiple services (1, 2)","Проверка ответа [404] при удалении нескольких сервисов оплаты (1, 2)"
"skipped","Fri Aug 18 11:43:45 GMT 2023","Fri Aug 18 11:43:45 GMT 2023","0","tests.games.reference.subgenre","Test put subgenre","TestSubgenreUpdate","","","Test subgenre update","Проверка успешного ответа [201] при обновлении поджанра"
"passed","Fri Aug 18 11:43:25 GMT 2023","Fri Aug 18 11:43:26 GMT 2023","1110","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","TG98-Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"passed","Fri Aug 18 11:44:29 GMT 2023","Fri Aug 18 11:44:30 GMT 2023","411","tests.payments.payment_accounts.owner.field_frozen_time","Test put owners","TestPaymentPutOwner","","","Test payment accounts owner update valid value param frozen_time","Проверка успешного ответа [200] при изменении frozen_time владельца валидными значениями"
"passed","Fri Aug 18 11:44:43 GMT 2023","Fri Aug 18 11:44:44 GMT 2023","456","tests.payments.payment_accounts.owner.field_payout_day_of_month","Test patch owners","TestPaymentPatchOwner","","","Test payment accounts owner partial update valid value param payout_day_of_month","Проверка успешного ответа [200] при частичном обновлении payout_day_of_month валидными значениями"
"passed","Fri Aug 18 11:44:32 GMT 2023","Fri Aug 18 11:44:32 GMT 2023","422","tests.payments.payment_accounts.owner.field_frozen_time","Test put owners regression","TestPaymentPutOwnerRegression","","","Test payment accounts owner update invalid value param frozen_time","Проверка ответа [400] при изменении frozen_time владельца невалидными значениями"
"passed","Fri Aug 18 11:42:40 GMT 2023","Fri Aug 18 11:42:41 GMT 2023","910","tests.games.reference.genre","Test put genre","TestGenreUpdate","","","Test genre update","Проверка успешного ответа [201] при обновлении жанра"
"passed","Fri Aug 18 11:44:30 GMT 2023","Fri Aug 18 11:44:30 GMT 2023","413","tests.payments.payment_accounts.owner.field_frozen_time","Test put owners regression","TestPaymentPutOwnerRegression","","","Test payment accounts owner update invalid value param frozen_time","Проверка ответа [400] при изменении frozen_time владельца невалидными значениями"
"passed","Fri Aug 18 11:44:40 GMT 2023","Fri Aug 18 11:44:41 GMT 2023","479","tests.payments.payment_accounts.owner.field_gift_time","Test put owners regression","TestPaymentPutOwnerRegression","","","Test payment accounts owner update invalid value param gift_time","Проверка ответа [400] при изменении gift_time владельца невалидными значениями"
"passed","Fri Aug 18 11:44:16 GMT 2023","Fri Aug 18 11:44:16 GMT 2023","444","tests.payments.payment_accounts.owner.field_commission","Test patch owners regression","TestPaymentPatchOwnerRegression","","","Test payment accounts owner partial update invalid value param commission","Проверка ответа [400] при частичном обновлении commission невалидными значениями"
