"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 31 10:04:07 GMT 2023","Mon Jul 31 10:04:09 GMT 2023","2021","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Check if we can not create the service with an existing name","Проверка ответа [400] при создании сервиса оплаты с уже существующим именем"
"passed","Mon Jul 31 10:03:48 GMT 2023","Mon Jul 31 10:03:49 GMT 2023","1548","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Get existent service by id","Проверка успешного ответа [200] при запросе существующего сервиса оплаты"
"passed","Mon Jul 31 10:02:39 GMT 2023","Mon Jul 31 10:02:40 GMT 2023","942","tests.games.reference.languages","Regression-tests delete languages","TestLanguagesDeleteRegression","","","TG91-Test deleting a language with a non-existent ID","Проверка ответа [404] при удалении языка c несуществующим ID"
"skipped","Mon Jul 31 10:03:31 GMT 2023","Mon Jul 31 10:03:31 GMT 2023","0","tests.games.reference.product_languages","Test put product languages","TestProductLanguagesUpdate","","","TG20-Test product languages update","Проверка успешного ответа [200] при обновлении языка продукта"
"passed","Mon Jul 31 10:03:47 GMT 2023","Mon Jul 31 10:03:48 GMT 2023","516","tests.payments.external_payments.services","Test get services","TestPaymentsGetList","","","Test external payments services list","Проверка успешного ответа [200] при запросе списка сервисов оплаты"
"passed","Mon Jul 31 10:03:46 GMT 2023","Mon Jul 31 10:03:47 GMT 2023","1066","tests.payments.external_payments.services","Test delete services","TestPaymentsGetList","","","Test of successful deleting existent service by id","Проверка успешного ответа [204] при удалении по id существующего сервиса оплаты"
"passed","Mon Jul 31 10:02:14 GMT 2023","Mon Jul 31 10:02:15 GMT 2023","1058","tests.games.community","Test get community review","TestCommunityReview","","","TG2-Test community review read","Проверка успешного ответа [200] при запросе обзора пользователей."
"passed","Mon Jul 31 10:03:22 GMT 2023","Mon Jul 31 10:03:23 GMT 2023","837","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","TG99-Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"skipped","Mon Jul 31 10:03:27 GMT 2023","Mon Jul 31 10:03:27 GMT 2023","0","tests.games.reference.product_languages","Test get product languages","TestProductLanguages","","","TG19-Test product languages  read","Проверка успешного ответа [200] при запросе списка языков продукта"
"skipped","Mon Jul 31 10:03:35 GMT 2023","Mon Jul 31 10:03:35 GMT 2023","0","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","Test subgenre read","Проверка успешного ответа [200] при запросе поджанра по ID."
"skipped","Mon Jul 31 10:03:38 GMT 2023","Mon Jul 31 10:03:40 GMT 2023","1329","tests.games.reference.subgenre","Test post Subgenre","TestGenreCreate","","","Test subgenre create","Проверка успешного ответа [201] при создании поджанра"
"passed","Mon Jul 31 10:02:30 GMT 2023","Mon Jul 31 10:02:31 GMT 2023","884","tests.games.reference.genre","Test patch genre","TestGenrePartialUpdate","","","Test genre partial update","Проверка успешного ответа [200] при частичном обновлении жанра"
"passed","Mon Jul 31 10:03:43 GMT 2023","Mon Jul 31 10:03:44 GMT 2023","821","tests.games.utils","Test get filters prices list","TestFiltersPrices","","","TG104-Test filters prices list","Проверка успешного ответа [200] при запросе списка фльтра цены"
"passed","Mon Jul 31 10:02:46 GMT 2023","Mon Jul 31 10:02:48 GMT 2023","1960","tests.games.reference.languages","Regression-tests get languages","TestLanguagesRegression","","","TG95-Test read a language with a deleted ID","Проверка ответа [404] при запросе удаленного языка"
"passed","Mon Jul 31 10:03:16 GMT 2023","Mon Jul 31 10:03:17 GMT 2023","997","tests.games.reference.languages","Test put languages","TestLanguagesUpdate","","","TG100-Test languages update","Проверка успешного ответа [200] при обновлении языка"
"passed","Mon Jul 31 10:02:32 GMT 2023","Mon Jul 31 10:02:34 GMT 2023","2289","tests.games.reference.genre","Test post genre","TestGenreCreate","","","TG74-Test genre create","Проверка успешного ответа [201] при создании жанра"
"skipped","Mon Jul 31 10:03:37 GMT 2023","Mon Jul 31 10:03:37 GMT 2023","0","tests.games.reference.subgenre","Test patch subgenre","TestSubgenrePartialUpdate","","","Test subgenre partial update","Проверка успешного ответа [200] при частичном обновлении поджанра"
"passed","Mon Jul 31 10:02:53 GMT 2023","Mon Jul 31 10:02:55 GMT 2023","1884","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG76-Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Mon Jul 31 10:02:19 GMT 2023","Mon Jul 31 10:02:20 GMT 2023","891","tests.games.core.system_requirement","Test post system requirement","TestSystemRequirementCreate","","","TG10-Test system requirement create","Проверка успешного ответа [201] при создании системных требований"
"skipped","Mon Jul 31 10:03:06 GMT 2023","Mon Jul 31 10:03:08 GMT 2023","2153","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","TG85-Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"passed","Mon Jul 31 10:02:42 GMT 2023","Mon Jul 31 10:02:43 GMT 2023","1363","tests.games.reference.languages","Test get languages","TestLanguages","","","TG97-Test languages read","Проверка успешного ответа [200] при запросе языка по ID."
"skipped","Mon Jul 31 10:03:41 GMT 2023","Mon Jul 31 10:03:42 GMT 2023","937","tests.games.utils","Test get filters genres list","TestFiltersGenres","","","TG102-Test filters genres list","Проверка успешного ответа [200] при запросе фильтра по жанру игр"
