"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 15:39:43 GMT 2023","Wed Jul 26 15:39:44 GMT 2023","1553","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Wed Jul 26 15:39:50 GMT 2023","Wed Jul 26 15:39:52 GMT 2023","2018","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Check if we can not create the service with an existing name","Проверка ответа [400] при создании сервиса оплаты с уже существующим именем"
"passed","Wed Jul 26 15:39:05 GMT 2023","Wed Jul 26 15:39:06 GMT 2023","996","tests.games.reference.languages","Regression-test put languages","TestLanguagesUpdateRegression","","","Test languages update with invalid value","Проверка ответа [400] при обновлении языка с невалидным значением "
"skipped","Wed Jul 26 15:39:09 GMT 2023","Wed Jul 26 15:39:09 GMT 2023","0","tests.games.reference.product_languages","Test get product languages","TestProductLanguages","","","Test product languages  read","Проверка успешного ответа [200] при запросе списка языков продукта"
"passed","Wed Jul 26 15:39:25 GMT 2023","Wed Jul 26 15:39:26 GMT 2023","971","tests.games.utils","Test get filters prices list","TestFiltersPrices","","","Test filters prices list","Проверка успешного ответа [200] при запросе списка фльтра цены"
"passed","Wed Jul 26 15:39:32 GMT 2023","Wed Jul 26 15:39:33 GMT 2023","1502","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Wed Jul 26 15:38:28 GMT 2023","Wed Jul 26 15:38:30 GMT 2023","2047","tests.games.reference.languages","Regression-tests get languages","TestLanguagesRegression","","","Test read a language with a deleted ID","Проверка ответа [404] при запросе удаленного языка"
"passed","Wed Jul 26 15:39:33 GMT 2023","Wed Jul 26 15:39:35 GMT 2023","1593","tests.payments.external_payments.services","Test post services","TestPaymentsPostList","","","Tests of the creating new external payments services","Проверка успешного ответа [201] при создании сервиса оплаты с именем 0"
"passed","Wed Jul 26 15:38:35 GMT 2023","Wed Jul 26 15:38:36 GMT 2023","965","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with checking the boundary values","Проверка граничных значений поля ""name"" при создании языка"
"skipped","Wed Jul 26 15:38:02 GMT 2023","Wed Jul 26 15:38:02 GMT 2023","0","tests.games.core.system_requirement","Test patch system requirement","TestSystemRequirementPartialUpdate","","","Test system requirement partial update","Проверка успешного ответа [200] при частичном обновлении системных требований"
"passed","Wed Jul 26 15:38:22 GMT 2023","Wed Jul 26 15:38:23 GMT 2023","1041","tests.games.reference.languages","Test get languages","TestLanguages","","","Test languages list","Проверка успешного ответа [200] при запросе списка языков."
"skipped","Wed Jul 26 15:39:14 GMT 2023","Wed Jul 26 15:39:14 GMT 2023","0","tests.games.reference.product_languages","Test put product languages","TestProductLanguagesUpdate","","","Test product languages update","Проверка успешного ответа [200] при обновлении языка продукта"
"skipped","Wed Jul 26 15:38:42 GMT 2023","Wed Jul 26 15:38:44 GMT 2023","1933","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
"skipped","Wed Jul 26 15:39:24 GMT 2023","Wed Jul 26 15:39:25 GMT 2023","837","tests.games.utils","Test get filters platforms list","TestFiltersPlatforms","","","Test filters platforms list","Проверка успешного ответа [200] при запросе фильтра по операционной системе"
"skipped","Wed Jul 26 15:39:23 GMT 2023","Wed Jul 26 15:39:24 GMT 2023","900","tests.games.utils","Test get filters genres list","TestFiltersGenres","","","Test filters genres list","Проверка успешного ответа [200] при запросе фильтра по жанру игр"
"passed","Wed Jul 26 15:39:17 GMT 2023","Wed Jul 26 15:39:17 GMT 2023","801","tests.games.reference.subgenre","Test get subgenre","TestSubgenre","","","Test subgenre list","Проверка успешного ответа [200] при запросе списка поджанров"
"passed","Wed Jul 26 15:38:41 GMT 2023","Wed Jul 26 15:38:42 GMT 2023","850","tests.games.reference.languages","Regression-tests post languages","TestLanguagesCreateRegression","","","Test languages create with invalid name","Проверка ответа [400] при создании языка c невалидным значением"
